qdate,gross,fees,traded,sold,trades
8325,2536.85,339.92,22386234.82,11194385.83,485
8326,2858.56,347.80,22786914.26,11394886.41,483
8327,5208.39,319.82,21154286.50,10579747.45,502
8328,5369.85,319.15,20814713.15,10410041.50,474
8329,729.92,336.36,22245997.01,11123363.47,494
8332,-2052.29,324.22,21504747.92,10751347.82,469
8333,2260.17,310.58,20543648.33,10272954.24,450
8334,-521.55,338.56,22403332.30,11201405.38,484
8335,4091.67,334.63,22308186.98,11156139.32,475
8336,-1148.34,343.97,22928781.94,11463816.80,490
8339,-5388.56,315.23,20845641.82,10420126.63,466
8340,-5841.38,311.18,20741142.78,10367650.71,487
8341,-5783.78,322.01,21402419.98,10698318.10,493
8342,-1183.74,383.37,25194873.03,12596844.65,469
8343,-963.18,327.80,21515657.04,10757346.93,487
8346,-596.08,319.81,21281522.68,10640463.31,493
8347,-923.93,337.46,22090493.21,11044784.64,478
8348,1486.22,325.37,21457597.42,10729541.83,459
8349,-7782.39,301.48,20129456.82,10060837.21,486
8350,-7131.94,303.65,20152986.26,10072927.16,500
8353,-802.81,305.69,20254650.86,10126924.03,502
8354,-285.85,322.10,21441030.40,10720372.28,487
8355,2051.64,319.50,21306250.47,10654151.06,486
8356,3053.12,318.29,21075169.98,10539111.55,484
8357,-985.79,325.10,21404539.52,10701776.87,469
8360,-3257.12,324.88,21388211.44,10692477.16,501
8361,-5069.38,294.54,19652228.93,9823579.77,482
8362,-1886.06,328.58,21802820.70,10900467.32,485
8364,776.46,137.31,9275473.61,4584254.73,208
8367,2612.45,328.72,21781749.64,10892181.04,479
8368,1126.67,332.63,22120997.03,11061061.85,480
8369,-3187.93,318.79,21180983.31,10588897.69,485
8370,5423.44,322.68,21529784.19,10767603.81,490
8371,-1534.20,345.24,23078484.57,11538475.19,500
8374,1971.81,347.69,23166734.02,11584352.91,485
8375,4810.16,333.02,21980552.20,10992681.18,493
8376,6457.74,324.23,21532969.19,10769713.47,479
8377,-3751.27,324.80,21577673.27,10786961.00,501
8378,-2361.91,309.88,20697783.01,10347710.55,470
8381,3250.58,338.00,22432671.29,11217960.94,478
8382,-2007.03,309.96,20709311.84,10353652.41,489
8383,3981.26,347.96,23084171.37,11544076.31,474
8384,1136.31,313.29,20691175.64,10346155.98,478
8385,1219.80,340.41,22556114.09,11278666.94,480
8388,6706.05,339.99,22394118.57,11200412.31,472
8389,4930.80,344.13,22668709.07,11336819.93,472
8390,1451.16,341.43,22466432.43,11233941.80,477
8391,1383.15,345.48,22683304.02,11342343.58,492
8392,6506.35,320.63,21229886.15,10618196.25,452
8396,3726.61,351.03,23244919.76,11624323.19,447
8397,2474.32,339.03,22215641.15,11109057.74,485
8398,-1192.20,297.26,19668621.68,9833714.74,495
8399,-1169.83,288.22,19039071.62,9518950.89,450
8410,-1813.98,276.47,18382444.38,9190315.20,479
8411,859.94,311.86,20630000.69,10315430.32,484
8412,-717.30,301.14,19878868.92,9939075.80,479
8413,-3512.25,300.34,19925162.76,9960825.26,468
8417,-319.65,265.43,17717874.31,8858777.33,495
8418,2248.99,281.18,18613788.78,9308018.88,466
8419,415.36,305.88,20437885.43,10219150.39,494
8420,280.83,284.55,18892969.11,9446624.97,452
8423,-3486.17,272.95,18197104.43,9096809.13,489
8424,3820.28,303.64,20103324.53,10053572.41,477
8425,-2339.96,271.24,18249342.48,9123501.25,470
8426,1868.49,279.33,18573100.00,9287484.25,481
8427,-3253.66,304.30,20124664.16,10060705.25,467
8430,3597.54,314.31,21101529.36,10552563.45,481
8431,4539.25,318.47,21324352.98,10664446.11,466
8432,-4746.65,283.83,18837091.60,9416172.48,501
8433,-12116.52,296.06,19682034.35,9834958.91,497
8434,-3524.28,301.33,20045319.22,10020897.47,478
8437,2459.94,317.17,21150186.26,10576323.10,495
8438,5679.05,317.35,21190754.41,10598216.73,490
8439,4315.68,295.73,19759820.14,9882067.90,476
8440,-268.80,276.26,18445842.23,9222786.72,470
8441,7725.31,346.24,22899256.73,11453491.02,478
8444,2452.44,303.72,20298331.44,10150391.94,473
8445,-673.38,297.21,19870107.60,9934717.11,500
8446,378.35,286.92,19162157.28,9581267.81,470
8447,3661.74,314.85,21052916.08,10528288.91,480
8448,2748.36,344.71,22952689.19,11477718.78,468
8452,3257.78,317.11,20938482.82,10470870.30,474
8453,-216.36,272.64,18058451.40,9029117.52,469
8454,2249.38,290.40,19209515.53,9605882.46,479
8455,3542.39,298.32,19912100.82,9957821.60,467
8458,-845.81,288.55,19286270.66,9642712.43,489
8459,-3015.07,248.61,16734004.51,8365494.72,472
8460,752.23,305.37,20369705.13,10185228.68,485
8461,-2316.63,295.17,19707027.93,9852355.65,489
